Deutch,English
sehen,see
nun,well
gerade,just
alles,all
glauben,believe
Tag,Day
ab,away
Geld,money
machen,make
nein,no
Sir,Sir
sollen,must
sagen,to say
kein,no
durch,through
zwei,two
dieser,this
passieren,happen
wohl,probably
vielleicht,perhaps
ihre,their
Mutter,mother
reden,talk
anderer,another
denken,think
daß,that
mögen,to like
werden,will
hören gehören,listen to
wissen,to know
keine,no
raus,Out
meine,think
paar,few
gut,Well
ob,if
her,from
müssen,have to
Ordnung,Order
mein,my
klar,clear
ihnen,them
los Los,go Go
dieser,this
mein,my
lange,Long
lassen,to let
dieser,this
helfen,help
unser,our
Weg,path
selbst,even
nur,only
finden,Find
mal Mal,times
jemand,someone
denken,think
ach,Oh
Nacht,Night
genau,I agree
gar,at all
sagen,to say
Welt,World
auf,on
Mädchen,girl
in,in
hin,there
von,from
schön,Nice
warum,why
weiter,further
leid Leid,sorry
gleich,same
wer,who
man,one
ohne,without
Mensch,person
dein,your
leid,suffering
wieso,how come
dort,there
als,as
Haus,a house
sollen,must
davon,from that
zusammen,together
geben,give
Ok,OK
hören,Listen
machen,make
Freund,friend
richtig,correct
Angst,fear
sein,be
tun,do
mit,With
viel,a lot of
sehen,see
Haus,a house
tot,dead
sollen,must
ganz,all
anderer,another
tun,do
okay,OK
rein,pure
dieser,this
Moment,moment
bleiben,stay
brauchen,to need
weil,because
Kind,child
unter,under
Arbeit,work
für,for
Problem,problem
dafür,Therefore
Herr,Mister
haben,to have
wegen,because
gehen 's es,go 's it
lieber,rather
genug,enough
dabei,included
bringen,bring
ihre Ihre,hers theirs
ne eine,ne one
gegen,versus
wissen,to know
sagen,to say
schnell,quickly
nun,well
ein,a
brauchen,to need
Abend,evening
haben,to have
Jahr,Year
machen,make
Bruder,Brothers
Sache,Matter
hören,Listen
kommen,come
Sohn,Son
seit,since
morgen Morgen,tomorrow morning
drei,three
stehen,stand
Scheiße,crap
mögen,to like
sein,be
unser,our
können,be able
haben,to have
oder,or
einmal,once
heißen,mean
OK,OK
wollen,want
Kopf,head
Hilfe,Help
Familie,family
gehen,walk
Baby,infant
dich,you
sein,be
erst,first
fertig,finished
finden,Find
sein,be
kommen,come
nehmen,take
morgen,morning
sprechen,speak
mir,me
sofort,instantly
können,be able
haben,to have
Jahr,Year
Kind,child
sein,be
genau,I agree
daran,to it
Junge,Young
Minute,minute
bevor,before
Stadt,city
bei,at
sterben,die
sein,be
Recht,Right
glauben,believe
warten,waiting
darüber,about that
dein,your
dein,your
Ende,End
he,hey
Ding,thing
Namen,Names
wahr,true
alle,Everyone
allein,alone
natürlich,naturally
töten,kill
nichts,Nothing
wirklich,really
bekommen,to get
Mann,Man
vergessen,forget
doch,yet
dazu,to
geben,give
spät,late
wissen,to know
Auge,Eye
Dank,Thanks to
Freund,friend
Junge,Young
halten,keep
warten,waiting
Glück,happiness
beide,both
gut,Well
dein,your
kennen,know
dein,your
n ein,no
hi,Hi
Dr.,Dr.
Auto,automobile
sagen,to say
gehen,walk
kommen,come
dir,to you
machen,make
von,from
Uhr,watch
sehen,see
Teufel,Devil
sonst,otherwise
Art,Kind
gern,gladly
Liebe,love
jeder,everyone
können,be able
ihr,her
halten Halt,hold up
fallen Fall,fall
Dad,Dad
Film,Movie
bisschen,a little
eigentlich,actually
weit,far
machen,make
geben,give
vorbei,over
verstehen,to understand
danke,thanks
drin,in it
in,in
Name,Surname
ganz,all
Musik,music
werden,will
Tür,door
verrückt,crazy
sollen,must
denken,think
noch,still
dran,your turn
sehen,see
lieb,dear
der,the
leben,Life
gut,Well
um,around
darauf,thereon
kein,no
stimmen,voices
Kerl,Guy
letzter,last
Job,job
verlieren,to lose
werden,will
kennen,know
Ahnung,Idea
sein,be
Grund,reason
toll,Great
bis,until
verdammen,condemn
bald,soon
bereit,ready
all,Alles
jemand,someone
hinter,Behind
schon,beautiful
sehr,very
Hand,hand
dürfen,allowed to
dieser,this
Frau,Woman
euch,you
Idee,idea
runter,down
machen Macht,make
draußen,outside
lang,long
Land,country
lassen,to let
Typ,Type
haben,to have
egal,no matter
arbeiten,work
spät,late
stehen,stand
ok,OK
gut,Well
kommen,come
bei,at
etwa,about
essen,meal
klein,small
jeder,everyone
Schwester,sister
Wasser,water
spielen,to play
Geschichte,story
sein,be
liegen,lie
sehen,see
Mom,Mom
Seite,side
wenig,little
ruhig,calm
Frage,question
meinen,think
überhaupt,at all
fahren,drive
ganz,all
gehen,walk
essen Essen,eat food
Ruhe,Quiet
echt,real
versuchen,to attempt
Tochter,daughter
kommen,come
ein,a
gehen,walk
Jahr,Year
brauchen,to need
fast,nearly
neu,New
gehen,walk
ziemlich,quite
anders,different
sehen,see
Polizei,police
Stunde,Hour
müssen,have to
Spiel,Game
sein,be
gerne,gladly
finden,Find
erzählen,tell
Tod,Death
Ort,location
Chance,chance
bedeuten,mean
sein,be
sagen,to say
sagen,to say
fragen,ask
letzter,last
sogar,even
erster,first
Sache,Matter
Wahrheit,truth
einziger,only
kurz,short
denen,whom
kommen,come
Spaß,fun
nach,after
oben,above
Mama,mummy
schwer,difficult
Schule,school
je,ever
eben,even
Gesicht,face
bestimmt bestimmen,determine
treffen,meeting
niemand,nobody
Woche,Week
Entschuldigung,Excuse me
sorgen Sorge,worry
warten,waiting
natürlich,naturally
schlecht,bad
groß,big
töten,kill
verstehen,to understand
hoffen,to hope
ah,ah
sein,be
Zimmer,Room
hoch,high
unser,our
Tag,Day
Teil,Part
wann,when
suchen,Looking for
verlassen,leaving
zeigen,demonstrate
wollen,want
lassen,to let
Wort,Word
eins ein,One one
zwischen,in between
woher,where from
Schatz,Treasure
wissen Wissen,know
versuchen,to attempt
können Können,be able to
können,be able
nett,kind
zu,to
kriegen,get
gehen,walk
Arsch,ass
klein,small
haben,to have
weiss,White
erster,first
laufen,to run
kommen,come
Freundin,girlfriend
Mensch,person
beide,both
Ding,thing
niemals,No way
endlich,at last
nehmen,take
müssen,have to
gehen,walk
heute Heute,today today
denken,think
Herz,heart
Waffe,weapon
sollen Soll,should
tun,do
Dollar,dollar
nehmen,take
schauen Schau,Look a look
holen,to fetch
oft,often
drauf,on it
anderes anderer,other others
niemand,nobody
unten,below
Wagen,Car
yeah,yeah
schön,Nice
wichtig,important
Mrs.,Mrs.
haben,to have
alle,Everyone
Miss,Miss
ihre,their
denken,think
Nummer,number
werden,will
erzählen,tell
bleiben,stay
auch,also
Hand,hand
Blut,blood
sehen Sehen,see
bloß,just
recht,Law
bringen,bring
Bett,bed
lassen,to let
Eltern,parents
gefallen,favor
Schuld,fault
euer,your
Plan,plan
Krieg,War
neu,New
klar,clear
retten,rescue
gut,Well
während,while
ul ihr,UL yours
sein,be
Fehler,mistake
scheinen,seem to be
lassen,to let
geben,give
an,on
hören,Listen
glücklich,happy
verdammt verdammen,condemn
alt,old
Platz,place
darum,therefore
viele,many
falsch,not correct
unser,our
schlafen,sleep
sagen Sagen,say
nächster,nearest
fünf,five
frei,free
sorgen Sorge,worry
vor,before
fest,Celebration
bereits,already
allein,alone
denn,then
zwei,two
Frage,question
möglich,possible
irgendwie,somehow
Papa,father
lernen,to learn
gestern,yesterday
hierher,here
Schiff,Ship
vier,four
irgendwas,anything
stimmen,voices
Menge,Crowd
keiner kein,none none
brauchen,to need
Typ,Type
dass,that
Stunde,Hour
Szene,scene
Hölle,hell
einige,some
deshalb,for this reason
werden,will
Telefon,phone
dürfen,allowed to
Feuer,Fire
wollen,want
sein,be
alt Alter,old older
Captain,Captain
aus,out
dieser,this
Problem,problem
jeder,everyone
verstehen,to understand
wann,when
alt,old
geben 's es,give it it
sondern,but
gut,Well
zwar,that is
eigener,own
New,New
Körper,Body
hören,Listen
zu,to
geben,give
Kumpel,Dude
Hund,dog
nochmal,once again
haben 's es,have it it
früh,early
hören Hören,listen to
trinken,drink
gut,Well
mein,my
schaffen,create
alt,old
Luft,Air
jemand,someone
dürfen,allowed to
Meister,master
Erde,Earth
seit,since
sicher,secure
hören,Listen
Zukunft,future
kaum,hardly
funktionieren,function
voll,full
bleiben,stay
reichen,pass
weh,sore
stellen,place
sehen,see
klein,small
groß,big
Waffe,weapon
Büro,office
Wahl,choice
verlieren,to lose
Woche,Week
damit,in order to
Stück,piece
lieben lieber,love
alles,all
treffen,meeting
äh,ah
an,on
schaffen,create
tun,do
gefallen fallen,fall
tja,well
Boss,boss
überall,all over
sehen,see
passieren,happen
lustig,fun
Licht,light
bringen,bring
nennen,to name
Folge,Consequence
Gefühl,feeling
völlig,fully
denken,think
Schlüssel,key
drüben,over there
richtig,correct
wieso,how come
Leute,people
Buch,A book
laufen,to run
spielen,to play
früher,previously
sein Sein,be
krank,Sick
gehen,walk
finden,Find
sein,be
passen Pass,fit pass
fühlen,feel
Himmel,heaven
froh,joyful
leicht,easy
direkt,direct
langsam,slow
wollen,want
erinnern,recall
zuerst,first
Krankenhaus,hospital
viel,a lot of
gut,Well
welcher,which one
nehmen,take
Arzt,physician
unser,our
Idiot,idiot
machen,make
glauben,believe
jeder,everyone
ohne,without
groß,big
haben,to have
äh,ah
Junge,Young
Rest,rest
unser,our
versuchen,to attempt
Tag tagen,Day days
nächster,nearest
entschuldigen,to apologize
Doktor,doctor
sprechen,speak
können,be able
halten,keep
Team,team
verstehen,to understand
kämpfen,battle
heiraten,marry
können,be able
wow,Wow
etwas,some
Straße,Street
Mist,Damn
König,king
reden,talk
klein,small
leben,Life
erklären,to explain
werden,will
Million,million
wiedersehen Wiedersehen,reunion again
Onkel,uncle
kennen,know
sitzen,sit
dieser,this
wenig,little
Kaffee,Coffee
ernst,serious
wollen,want
tragen,wear
Zeug,Things
trotzdem,Nevertheless
ihr Ihr,You yours
kaufen,to buy
Liste,list
ändern,change
Kampf,Battle
hassen,to hate
Person,person
Mund,mouth
umbringen,kill
Präsident,president
Boden,floor
wohin,where
machen,make
Party,party
fragen,ask
sehen,see
irgendwo,somewhere
kümmern,To take care of
kennen,know
verletzen,violate
haben,to have
Nachricht,news
Willkommen,Welcome
viele,many
hart,hard
lassen,to let
total,total
Gefängnis,prison
außer,except
Sicherheit,security
schnell,quickly
wer,who
ehrlich,honest
interessieren,interest
Sex,sex
sagen,to say
ziehen,draw
welcher,which one
unser,our
Augenblick,moment
anrufen,call up
aufhören,stop
Klasse,class
Bild,picture
stark,strong
dieser,this
euer,your
zehn,ten
Sinn,sense
vorstellen,introduce
Traum,Dream
lang,long
manchmal,sometimes
anrufen,call up
sechs,six
Arschloch,asshole
sollen,must
sterben,die
Tag,Day
sein 's es,his' s it
verschwinden,disappear
Kraft,power
sprechen,speak
heraus,out of here
genauso,just like that
sein,be
eins,one
damals,back then
heißen,mean
Liebling,darling
wahrscheinlich,probably
deshalb,for this reason
stellen Stelle,position
halt halten,stop
erwarten,expect
solcher,such
meisten,most
bringen,bring
still,quiet
umbringen,kill
Stimme,Voice
General,general
geben Geben,give
entschuldigen,to apologize
vergessen,forget
reden,talk
führen,to lead
Bewegung,movement
hören,Listen
sonst,otherwise
Geschäft,business
werden,will
können,be able
warten,waiting
raus,Out
